iter	Passed	Remaining
226	3593	12237
227	3608	12219
228	3626	12209
229	3639	12185
230	3652	12157
231	3665	12133
232	3678	12108
233	3690	12081
234	3703	12054
235	3715	12027
236	3728	12002
237	3740	11975
238	3751	11946
239	3763	11918
240	3776	11892
241	3787	11863
242	3801	11843
243	3817	11828
244	3831	11807
245	3845	11785
246	3858	11762
247	3871	11738
248	3885	11720
249	3898	11696
250	3911	11670
251	3923	11646
252	3937	11624
253	3949	11600
254	3962	11575
255	3975	11553
256	3990	11536
257	4005	11520
258	4021	11505
259	4037	11491
260	4050	11470
261	4064	11448
262	4076	11424
263	4089	11400
264	4102	11379
265	4114	11354
266	4127	11331
267	4140	11308
268	4152	11285
269	4165	11261
270	4177	11237
271	4190	11215
272	4202	11192
273	4214	11167
274	4228	11147
275	4243	11132
276	4259	11118
277	4272	11097
278	4285	11075
279	4298	11052
280	4310	11029
281	4324	11010
282	4337	10990
283	4350	10969
284	4363	10946
285	4376	10926
286	4390	10907
287	4404	10888
288	4417	10867
289	4429	10843
290	4441	10822
291	4455	10803
292	4468	10783
293	4483	10766
294	4498	10751
295	4556	10837
296	4611	10915
297	4628	10903
298	4643	10887
299	4662	10879
300	4683	10876
301	4697	10858
302	4713	10842
303	4728	10826
304	4743	10808
305	4758	10791
306	4774	10776
307	4788	10759
308	4803	10741
309	4817	10723
310	4832	10706
311	4847	10689
312	4861	10670
313	4876	10654
314	4890	10635
315	4904	10616
316	4919	10598
317	4932	10579
318	4946	10559
319	4960	10540
320	4974	10522
321	4988	10503
322	5002	10484
323	5017	10468
324	5031	10450
325	5046	10433
326	5060	10416
327	5076	10400
328	5092	10386
329	5106	10367
330	5120	10349
331	5135	10333
332	5151	10317
333	5165	10299
334	5179	10281
335	5194	10265
336	5209	10248
337	5224	10231
338	5239	10215
339	5253	10197
340	5267	10179
341	5282	10163
342	5297	10146
343	5311	10128
344	5325	10110
345	5338	10090
346	5351	10071
347	5366	10053
348	5380	10036
349	5394	10017
350	5408	9999
351	5422	9981
352	5437	9966
353	5455	9955
354	5473	9944
355	5496	9943
356	5520	9943
357	5541	9938
358	5560	9928
359	5577	9916
360	5592	9899
361	5605	9880
362	5620	9862
363	5633	9843
364	5645	9822
365	5659	9803
366	5674	9786
367	5688	9768
368	5700	9748
369	5712	9727
370	5727	9711
371	5744	9696
372	5757	9677
373	5770	9658
374	5782	9638
375	5795	9617
376	5807	9597
377	5820	9577
378	5833	9558
379	5847	9540
380	5859	9519
381	5871	9499
382	5884	9480
383	5897	9460
384	5909	9440
385	5921	9419
386	5934	9399
387	5949	9384
388	5965	9370
389	5978	9351
390	5990	9331
391	6002	9310
392	6015	9290
393	6027	9270
394	6040	9251
395	6052	9231
396	6064	9211
397	6078	9193
398	6090	9174
399	6102	9154
400	6115	9134
401	6127	9115
402	6140	9096
403	6152	9076
404	6166	9059
405	6180	9043
406	6194	9024
407	6207	9007
408	6219	8987
409	6233	8969
410	6245	8950
411	6258	8931
412	6271	8913
413	6283	8894
414	6295	8874
415	6308	8856
416	6321	8837
417	6334	8819
418	6346	8800
419	6358	8781
420	6372	8763
421	6386	8747
422	6402	8733
423	6417	8717
424	6431	8701
425	6445	8684
426	6459	8667
427	6473	8651
428	6487	8634
429	6499	8615
430	6512	8598
431	6526	8580
432	6539	8563
433	6554	8547
434	6567	8530
435	6579	8511
436	6592	8493
437	6607	8478
438	6623	8464
439	6636	8446
440	6649	8428
441	6662	8410
442	6675	8393
443	6687	8375
444	6700	8356
445	6712	8337
446	6725	8320
447	6737	8302
448	6750	8283
449	6762	8265
450	6775	8248
451	6788	8229
452	6800	8211
453	6812	8193
454	6827	8178
455	6844	8164
456	6857	8148
457	6870	8130
458	6884	8113
459	6896	8095
460	6908	8077
461	6921	8060
462	6935	8043
463	6947	8025
464	6961	8009
465	6974	7992
466	6986	7973
467	6999	7956
468	7011	7938
469	7026	7923
470	7042	7910
471	7059	7896
472	7073	7881
473	7092	7870
474	7112	7861
475	7132	7852
476	7151	7841
477	7170	7830
478	7193	7824
479	7213	7814
480	7232	7803
481	7251	7793
482	7275	7787
483	7292	7774
484	7314	7766
485	7333	7756
486	7350	7742
487	7369	7732
488	7389	7722
489	7408	7710
490	7426	7699
491	7442	7684
492	7459	7671
493	7474	7655
494	7490	7642
495	7509	7630
496	7523	7614
497	7537	7597
498	7551	7581
499	7564	7564
500	7577	7547
501	7591	7530
502	7604	7513
503	7618	7497
504	7631	7480
505	7644	7463
506	7657	7446
507	7671	7430
508	7686	7415
509	7703	7401
510	7716	7383
511	7729	7366
512	7741	7349
513	7754	7331
514	7766	7314
515	7779	7297
516	7792	7280
517	7804	7262
518	7817	7244
519	7829	7227
520	7842	7210
521	7854	7192
522	7867	7175
523	7879	7158
524	7891	7140
525	7906	7124
526	7920	7108
527	7933	7091
528	7947	7075
529	7961	7059
530	7973	7042
531	7985	7024
532	7998	7007
533	8009	6989
534	8022	6972
535	8035	6956
536	8048	6939
537	8060	6922
538	8073	6904
539	8085	6887
540	8098	6870
541	8110	6853
542	8126	6839
543	8139	6822
544	8152	6805
545	8164	6788
546	8175	6770
547	8188	6753
548	8200	6736
549	8212	6719
550	8225	6702
551	8237	6685
552	8250	6668
553	8261	6651
554	8274	6634
555	8290	6620
556	8303	6603
557	8314	6586
558	8327	6569
559	8341	6554
560	8355	6538
561	8367	6521
562	8380	6505
563	8394	6489
564	8407	6472
565	8419	6455
566	8432	6439
567	8445	6423
568	8457	6406
569	8470	6389
570	8483	6373
571	8495	6356
572	8507	6339
573	8520	6323
574	8535	6308
575	8549	6293
576	8562	6277
577	8574	6260
578	8587	6243
579	8599	6227
580	8613	6211
581	8626	6195
582	8638	6179
583	8651	6162
584	8664	6146
585	8676	6130
586	8688	6113
587	8701	6096
588	8713	6080
589	8726	6063
590	8739	6047
591	8753	6032
592	8766	6016
593	8780	6001
594	8792	5984
595	8804	5968
596	8816	5951
597	8829	5935
598	8842	5919
599	8854	5902
600	8866	5886
601	8878	5869
602	8891	5854
603	8903	5837
604	8916	5821
605	8929	5805
606	8942	5789
607	8958	5776
608	8974	5761
609	8986	5745
610	8998	5729
611	9011	5713
612	9024	5697
613	9037	5681
614	9049	5665
615	9061	5648
616	9073	5632
617	9085	5616
618	9097	5599
619	9110	5583
620	9121	5567
621	9134	5550
622	9146	5534
623	9159	5519
624	9172	5503
625	9187	5489
626	9201	5473
627	9213	5457
628	9226	5442
629	9240	5426
630	9253	5411
631	9265	5395
632	9279	5379
633	9291	5364
634	9304	5348
635	9316	5332
636	9329	5316
637	9342	5300
638	9354	5285
639	9367	5269
640	9382	5254
641	9399	5241
642	9411	5225
643	9424	5209
644	9436	5193
645	9449	5178
646	9462	5162
647	9475	5147
648	9488	5131
649	9502	5116
650	9514	5100
651	9527	5085
652	9539	5069
653	9552	5053
654	9566	5038
655	9579	5023
656	9593	5008
657	9608	4993
658	9625	4980
659	9638	4965
660	9650	4949
661	9662	4933
662	9674	4917
663	9687	4902
664	9699	4886
665	9711	4870
666	9724	4855
667	9738	4839
668	9751	4824
669	9764	4809
670	9776	4793
671	9792	4779
672	9809	4766
673	9822	4751
674	9836	4735
675	9848	4720
676	9861	4705
677	9874	4689
678	9888	4674
679	9901	4659
680	9914	4644
681	9926	4628
682	9941	4614
683	9956	4599
684	9974	4586
685	9992	4573
686	10015	4563
687	10035	4550
688	10057	4539
689	10076	4526
690	10094	4513
691	10114	4501
692	10134	4489
693	10154	4477
694	10172	4464
695	10190	4451
696	10209	4438
697	10232	4427
698	10252	4414
699	10270	4401
700	10291	4389
701	10307	4375
702	10325	4362
703	10345	4349
704	10364	4336
705	10381	4323
706	10397	4309
707	10412	4294
708	10429	4280
709	10443	4265
710	10459	4251
711	10474	4236
712	10488	4221
713	10502	4206
714	10515	4191
715	10529	4176
716	10543	4161
717	10558	4146
718	10571	4131
719	10584	4116
720	10597	4100
721	10610	4085
722	10624	4070
723	10637	4055
724	10652	4040
725	10669	4026
726	10682	4011
727	10697	3996
728	10711	3981
729	10727	3967
730	10742	3953
731	10760	3939
732	10777	3925
733	10794	3911
734	10812	3898
735	10830	3884
736	10844	3869
737	10859	3855
738	10878	3841
739	10899	3829
740	10923	3818
741	10946	3806
742	10964	3792
743	10983	3779
744	11003	3766
745	11023	3753
746	11042	3739
747	11059	3726
748	11078	3712
749	11102	3700
750	11118	3686
751	11141	3674
752	11155	3659
753	11169	3644
754	11183	3629
755	11197	3614
756	11210	3598
757	11229	3585
758	11244	3570
759	11258	3555
760	11275	3541
761	11296	3528
762	11315	3514
763	11330	3500
764	11349	3486
765	11363	3471
766	11382	3457
767	11397	3442
768	11416	3429
769	11433	3415
770	11447	3399
771	11461	3385
772	11480	3371
773	11499	3357
774	11517	3343
775	11536	3330
776	11552	3315
777	11579	3304
778	11599	3290
779	11617	3276
780	11636	3263
781	11656	3249
782	11678	3236
783	11698	3223
784	11716	3209
785	11734	3194
786	11753	3181
787	11771	3166
788	11793	3154
789	11814	3140
790	11832	3126
791	11850	3112
792	11866	3097
793	11880	3082
794	11895	3067
795	11910	3052
796	11923	3037
797	11937	3021
798	11950	3006
799	11964	2991
800	11980	2976
801	11998	2962
802	12010	2946
803	12024	2931
804	12037	2915
805	12049	2900
806	12062	2884
807	12075	2869
808	12087	2853
809	12100	2838
810	12112	2822
811	12125	2807
812	12137	2791
813	12150	2776
814	12163	2760
815	12179	2746
816	12198	2732
817	12219	2718
818	12237	2704
819	12256	2690
820	12274	2676
821	12292	2661
822	12313	2648
823	12334	2634
824	12354	2620
825	12372	2606
826	12387	2591
827	12403	2576
828	12418	2561
829	12431	2546
830	12444	2530
831	12457	2515
832	12470	2500
833	12484	2484
834	12497	2469
835	12509	2454
836	12522	2438
837	12534	2423
838	12548	2408
839	12562	2392
840	12574	2377
841	12589	2362
842	12607	2348
843	12621	2332
844	12634	2317
845	12647	2302
846	12660	2287
847	12674	2271
848	12690	2257
849	12705	2242
850	12717	2226
851	12731	2211
852	12745	2196
853	12760	2181
854	12773	2166
855	12786	2151
856	12799	2135
857	12815	2120
858	12830	2106
859	12843	2090
860	12857	2075
861	12870	2060
862	12882	2045
863	12896	2029
864	12910	2014
865	12924	1999
866	12938	1984
867	12952	1969
868	12966	1954
869	12979	1939
870	12992	1924
871	13007	1909
872	13020	1894
873	13035	1879
874	13048	1864
875	13061	1848
876	13075	1833
877	13088	1818
878	13101	1803
879	13114	1788
880	13127	1773
881	13141	1758
882	13154	1743
883	13167	1727
884	13180	1712
885	13194	1697
886	13207	1682
887	13220	1667
888	13236	1652
889	13251	1637
890	13265	1622
891	13277	1607
892	13290	1592
893	13303	1577
894	13317	1562
895	13330	1547
896	13343	1532
897	13356	1517
898	13369	1502
899	13382	1486
900	13395	1471
901	13407	1456
902	13420	1441
903	13433	1426
904	13447	1411
905	13463	1396
906	13475	1381
907	13489	1366
908	13501	1351
909	13515	1336
910	13527	1321
911	13540	1306
912	13553	1291
913	13566	1276
914	13580	1261
915	13592	1246
916	13605	1231
917	13618	1216
918	13631	1201
919	13643	1186
920	13657	1171
921	13672	1156
922	13686	1141
923	13699	1126
924	13713	1111
925	13725	1096
926	13739	1081
927	13752	1067
928	13765	1052
929	13779	1037
930	13791	1022
931	13805	1007
932	13817	992
933	13830	977
934	13842	962
935	13856	947
936	13871	932
937	13885	917
938	13897	902
939	13909	887
940	13922	872
941	13935	858
942	13948	843
943	13962	828
944	13974	813
945	13987	798
946	13999	783
947	14012	768
948	14024	753
949	14036	738
950	14049	723
951	14063	709
952	14078	694
953	14091	679
954	14104	664
955	14116	649
956	14129	634
957	14141	619
958	14153	605
959	14166	590
960	14179	575
961	14192	560
962	14205	545
963	14218	530
964	14232	516
965	14246	501
966	14259	486
967	14272	471
968	14287	457
969	14302	442
970	14320	427
971	14334	412
972	14350	398
973	14369	383
974	14387	368
975	14411	354
976	14428	339
977	14443	324
978	14458	310
979	14473	295
980	14486	280
981	14502	265
982	14518	251
983	14534	236
984	14549	221
985	14564	206
986	14578	192
987	14593	177
988	14607	162
989	14622	147
990	14635	132
991	14649	118
992	14663	103
993	14678	88
994	14695	73
995	14711	59
996	14729	44
997	14748	29
998	14765	14
999	14779	0
